SV_type	ID	tool	original_filename	gallery_path
DUP	DUP11	SVhawkeye	chr10_31837970_31845777.e2000.png	assets/DUP/svhawkeye/DUP11.png
DUP	DUP12	Bamsnap-LRS	duplication_ONT_chr10_50472040_50482337.png	assets/DUP/bamsnap-lrs/DUP12.png
DUP	DUP12	SVhawkeye	chr10_50474040_50480337.e2000.png	assets/DUP/svhawkeye/DUP12.png
DUP	DUP13	Bamsnap-LRS	duplication_ONT_chr10_74808908_74818815.png	assets/DUP/bamsnap-lrs/DUP13.png
DUP	DUP13	SVhawkeye	chr10_74810908_74816815.e2000.png	assets/DUP/svhawkeye/DUP13.png
DUP	DUP14	Bamsnap-LRS	duplication_ONT_chr10_113949922_113970976.png	assets/DUP/bamsnap-lrs/DUP14.png
DUP	DUP14	SVhawkeye	chr10_113951922_113968976.e2000.png	assets/DUP/svhawkeye/DUP14.png
DUP	DUP15	Bamsnap-LRS	duplication_ONT_chr10_118858130_118908069.png	assets/DUP/bamsnap-lrs/DUP15.png
DUP	DUP15	SVhawkeye	chr10_118860130_118906069.e2000.png	assets/DUP/svhawkeye/DUP15.png
DUP	DUP16	Bamsnap-LRS	duplication_ONT_chr11_46846122_46864265.png	assets/DUP/bamsnap-lrs/DUP16.png
DUP	DUP16	SVhawkeye	chr11_46848122_46862265.e2000.png	assets/DUP/svhawkeye/DUP16.png
DUP	DUP17	Bamsnap-LRS	duplication_ONT_chr11_57957636_57965092.png	assets/DUP/bamsnap-lrs/DUP17.png
DUP	DUP17	SVhawkeye	chr11_57959636_57963092.e2000.png	assets/DUP/svhawkeye/DUP17.png
DUP	DUP18	Bamsnap-LRS	duplication_ONT_chr11_60961344_60973208.png	assets/DUP/bamsnap-lrs/DUP18.png
DUP	DUP18	SVhawkeye	chr11_60963344_60971208.e2000.png	assets/DUP/svhawkeye/DUP18.png
DUP	DUP19	Bamsnap-LRS	duplication_ONT_chr11_65438714_65446882.png	assets/DUP/bamsnap-lrs/DUP19.png
DUP	DUP19	SVhawkeye	chr11_65440714_65444882.e2000.png	assets/DUP/svhawkeye/DUP19.png
DUP	DUP20	Bamsnap-LRS	duplication_ONT_chr11_69649477_69681557.png	assets/DUP/bamsnap-lrs/DUP20.png
DUP	DUP20	SVhawkeye	chr11_69651477_69679557.e2000.png	assets/DUP/svhawkeye/DUP20.png
DUP	DUP21	Bamsnap-LRS	duplication_ONT_chr11_103273714_103288253.png	assets/DUP/bamsnap-lrs/DUP21.png
DUP	DUP21	SVhawkeye	chr11_103275714_103286253.e2000.png	assets/DUP/svhawkeye/DUP21.png
DUP	DUP22	Bamsnap-LRS	duplication_ONT_chr12_54294485_54318595.png	assets/DUP/bamsnap-lrs/DUP22.png
DUP	DUP22	SVhawkeye	chr12_54296485_54316595.e2000.png	assets/DUP/svhawkeye/DUP22.png
DUP	DUP23	Bamsnap-LRS	duplication_ONT_chr12_57373543_57385774.png	assets/DUP/bamsnap-lrs/DUP23.png
DUP	DUP23	SVhawkeye	chr12_57375543_57383774.e2000.png	assets/DUP/svhawkeye/DUP23.png
DUP	DUP24	Bamsnap-LRS	duplication_ONT_chr12_76682833_76698533.png	assets/DUP/bamsnap-lrs/DUP24.png
DUP	DUP24	SVhawkeye	chr12_76684833_76696533.e2000.png	assets/DUP/svhawkeye/DUP24.png
DUP	DUP25	Bamsnap-LRS	duplication_ONT_chr12_78858513_78864884.png	assets/DUP/bamsnap-lrs/DUP25.png
DUP	DUP25	SVhawkeye	chr12_78860513_78862884.e2000.png	assets/DUP/svhawkeye/DUP25.png
DUP	DUP26	Bamsnap-LRS	duplication_ONT_chr12_96358655_96367940.png	assets/DUP/bamsnap-lrs/DUP26.png
DUP	DUP26	SVhawkeye	chr12_96360655_96365940.e2000.png	assets/DUP/svhawkeye/DUP26.png
DUP	DUP27	Bamsnap-LRS	duplication_ONT_chr12_101543023_101585930.png	assets/DUP/bamsnap-lrs/DUP27.png
DUP	DUP27	SVhawkeye	chr12_101545023_101583930.e2000.png	assets/DUP/svhawkeye/DUP27.png
DUP	DUP28	Bamsnap-LRS	duplication_ONT_chr12_131328035_131332271.png	assets/DUP/bamsnap-lrs/DUP28.png
DUP	DUP28	SVhawkeye	chr12_131330035_131330271.e2000.png	assets/DUP/svhawkeye/DUP28.png
DUP	DUP29	Bamsnap-LRS	duplication_ONT_chr13_45966952_45975405.png	assets/DUP/bamsnap-lrs/DUP29.png
DUP	DUP29	SVhawkeye	chr13_45968952_45973405.e2000.png	assets/DUP/svhawkeye/DUP29.png
DUP	DUP30	Bamsnap-LRS	duplication_ONT_chr13_109542121_109550686.png	assets/DUP/bamsnap-lrs/DUP30.png
DUP	DUP30	SVhawkeye	chr13_109544121_109548686.e2000.png	assets/DUP/svhawkeye/DUP30.png
DUP	DUP31	Bamsnap-LRS	duplication_ONT_chr13_114047399_114075562.png	assets/DUP/bamsnap-lrs/DUP31.png
DUP	DUP31	SVhawkeye	chr13_114049399_114073562.e2000.png	assets/DUP/svhawkeye/DUP31.png
DUP	DUP32	Bamsnap-LRS	duplication_ONT_chr14_61609827_61619430.png	assets/DUP/bamsnap-lrs/DUP32.png
DUP	DUP32	SVhawkeye	chr14_61611827_61617430.e2000.png	assets/DUP/svhawkeye/DUP32.png
DUP	DUP33	Bamsnap-LRS	duplication_ONT_chr14_64369538_64384237.png	assets/DUP/bamsnap-lrs/DUP33.png
DUP	DUP33	SVhawkeye	chr14_64371538_64382237.e2000.png	assets/DUP/svhawkeye/DUP33.png
DUP	DUP34	Bamsnap-LRS	duplication_ONT_chr14_68220387_68248454.png	assets/DUP/bamsnap-lrs/DUP34.png
DUP	DUP34	SVhawkeye	chr14_68222387_68246454.e2000.png	assets/DUP/svhawkeye/DUP34.png
DUP	DUP35	Bamsnap-LRS	duplication_ONT_chr14_80757175_80771944.png	assets/DUP/bamsnap-lrs/DUP35.png
DUP	DUP35	SVhawkeye	chr14_80759175_80769944.e2000.png	assets/DUP/svhawkeye/DUP35.png
DUP	DUP36	Bamsnap-LRS	duplication_ONT_chr14_91641971_91656678.png	assets/DUP/bamsnap-lrs/DUP36.png
DUP	DUP36	SVhawkeye	chr14_91643971_91654678.e2000.png	assets/DUP/svhawkeye/DUP36.png
DUP	DUP37	Bamsnap-LRS	duplication_ONT_chr14_102067372_102082658.png	assets/DUP/bamsnap-lrs/DUP37.png
DUP	DUP37	SVhawkeye	chr14_102069372_102080658.e2000.png	assets/DUP/svhawkeye/DUP37.png
DUP	DUP38	Bamsnap-LRS	duplication_ONT_chr14_104679640_104691471.png	assets/DUP/bamsnap-lrs/DUP38.png
DUP	DUP38	SVhawkeye	chr14_104681640_104689471.e2000.png	assets/DUP/svhawkeye/DUP38.png
DUP	DUP39	Bamsnap-LRS	duplication_ONT_chr14_105626058_105630340.png	assets/DUP/bamsnap-lrs/DUP39.png
DUP	DUP39	SVhawkeye	chr14_105628058_105628340.e2000.png	assets/DUP/svhawkeye/DUP39.png
DUP	DUP40	Bamsnap-LRS	duplication_ONT_chr15_68886825_68894927.png	assets/DUP/bamsnap-lrs/DUP40.png
DUP	DUP40	SVhawkeye	chr15_68888825_68892927.e2000.png	assets/DUP/svhawkeye/DUP40.png
DUP	DUP41	Bamsnap-LRS	duplication_ONT_chr15_69363417_69376260.png	assets/DUP/bamsnap-lrs/DUP41.png
DUP	DUP41	SVhawkeye	chr15_69365417_69374260.e2000.png	assets/DUP/svhawkeye/DUP41.png
DUP	DUP42	Bamsnap-LRS	duplication_ONT_chr15_71048543_71056987.png	assets/DUP/bamsnap-lrs/DUP42.png
DUP	DUP42	SVhawkeye	chr15_71050543_71054987.e2000.png	assets/DUP/svhawkeye/DUP42.png
DUP	DUP43	Bamsnap-LRS	duplication_ONT_chr15_71312305_71344218.png	assets/DUP/bamsnap-lrs/DUP43.png
DUP	DUP43	SVhawkeye	chr15_71314305_71342218.e2000.png	assets/DUP/svhawkeye/DUP43.png
DUP	DUP44	Bamsnap-LRS	duplication_ONT_chr15_77012902_77023617.png	assets/DUP/bamsnap-lrs/DUP44.png
DUP	DUP44	SVhawkeye	chr15_77014902_77021617.e2000.png	assets/DUP/svhawkeye/DUP44.png
DUP	DUP45	Bamsnap-LRS	duplication_ONT_chr15_97762820_97771613.png	assets/DUP/bamsnap-lrs/DUP45.png
DUP	DUP45	SVhawkeye	chr15_97764820_97769613.e2000.png	assets/DUP/svhawkeye/DUP45.png
DUP	DUP46	Bamsnap-LRS	duplication_ONT_chr16_28229192_28239221.png	assets/DUP/bamsnap-lrs/DUP46.png
DUP	DUP46	SVhawkeye	chr16_28231192_28237221.e2000.png	assets/DUP/svhawkeye/DUP46.png
DUP	DUP47	Bamsnap-LRS	duplication_ONT_chr16_34570634_34583930.png	assets/DUP/bamsnap-lrs/DUP47.png
DUP	DUP47	SVhawkeye	chr16_34572634_34581930.e2000.png	assets/DUP/svhawkeye/DUP47.png
DUP	DUP48	Bamsnap-LRS	duplication_ONT_chr16_34580005_34587612.png	assets/DUP/bamsnap-lrs/DUP48.png
DUP	DUP48	SVhawkeye	chr16_34582005_34585612.e2000.png	assets/DUP/svhawkeye/DUP48.png
DUP	DUP49	Bamsnap-LRS	duplication_ONT_chr16_34590756_34596605.png	assets/DUP/bamsnap-lrs/DUP49.png
DUP	DUP49	SVhawkeye	chr16_34592756_34594605.e2000.png	assets/DUP/svhawkeye/DUP49.png
DUP	DUP50	Bamsnap-LRS	duplication_ONT_chr17_41579105_41592667.png	assets/DUP/bamsnap-lrs/DUP50.png
DUP	DUP50	SVhawkeye	chr17_41581105_41590667.e2000.png	assets/DUP/svhawkeye/DUP50.png
INV	INV1	Bamsnap-LRS	inversion_ONT_chr10_11680575_11684659.png	assets/INV/bamsnap-lrs/INV1.png
INV	INV1	SVhawkeye	chr10_11682575_11682659.e2000.png	assets/INV/svhawkeye/INV1.png
INV	INV2	Bamsnap-LRS	inversion_ONT_chr10_120043787_120055376.png	assets/INV/bamsnap-lrs/INV2.png
INV	INV2	SVhawkeye	chr10_120045787_120053376.e2000.png	assets/INV/svhawkeye/INV2.png
INV	INV3	Bamsnap-LRS	inversion_ONT_chr11_309836_319949.png	assets/INV/bamsnap-lrs/INV3.png
INV	INV3	SVhawkeye	chr11_311836_317949.e2000.png	assets/INV/svhawkeye/INV3.png
INV	INV4	Bamsnap-LRS	inversion_ONT_chr11_114915471_114932951.png	assets/INV/bamsnap-lrs/INV4.png
INV	INV4	SVhawkeye	chr11_114917471_114930951.e2000.png	assets/INV/svhawkeye/INV4.png
INV	INV5	Bamsnap-LRS	inversion_ONT_chr12_417504_421584.png	assets/INV/bamsnap-lrs/INV5.png
INV	INV5	SVhawkeye	chr12_419504_419584.e2000.png	assets/INV/svhawkeye/INV5.png
INV	INV6	Bamsnap-LRS	inversion_ONT_chr12_71544195_71549883.png	assets/INV/bamsnap-lrs/INV6.png
INV	INV6	SVhawkeye	chr12_71546195_71547883.e2000.png	assets/INV/svhawkeye/INV6.png
INV	INV7	Bamsnap-LRS	inversion_ONT_chr15_36870648_36880491.png	assets/INV/bamsnap-lrs/INV7.png
INV	INV7	SVhawkeye	chr15_36872648_36878491.e2000.png	assets/INV/svhawkeye/INV7.png
INV	INV8	Bamsnap-LRS	inversion_ONT_chr15_36876164_36892190.png	assets/INV/bamsnap-lrs/INV8.png
INV	INV8	SVhawkeye	chr15_36878164_36890190.e2000.png	assets/INV/svhawkeye/INV8.png
INV	INV9	Bamsnap-LRS	inversion_ONT_chr16_24573795_24577979.png	assets/INV/bamsnap-lrs/INV9.png
INV	INV9	SVhawkeye	chr16_24575795_24575979.e2000.png	assets/INV/svhawkeye/INV9.png
INV	INV10	Bamsnap-LRS	inversion_ONT_chr16_29547927_29585142.png	assets/INV/bamsnap-lrs/INV10.png
INV	INV10	SVhawkeye	chr16_29549927_29583142.e2000.png	assets/INV/svhawkeye/INV10.png
INV	INV11	Bamsnap-LRS	inversion_ONT_chr16_34570228_34591462.png	assets/INV/bamsnap-lrs/INV11.png
INV	INV11	SVhawkeye	chr16_34572228_34589462.e2000.png	assets/INV/svhawkeye/INV11.png
INV	INV12	Bamsnap-LRS	inversion_ONT_chr16_34572247_34594900.png	assets/INV/bamsnap-lrs/INV12.png
INV	INV12	SVhawkeye	chr16_34574247_34592900.e2000.png	assets/INV/svhawkeye/INV12.png
INV	INV13	Bamsnap-LRS	inversion_ONT_chr16_34574300_34594751.png	assets/INV/bamsnap-lrs/INV13.png
INV	INV13	SVhawkeye	chr16_34576300_34592751.e2000.png	assets/INV/svhawkeye/INV13.png
INV	INV14	Bamsnap-LRS	inversion_ONT_chr16_34578970_34591093.png	assets/INV/bamsnap-lrs/INV14.png
INV	INV14	SVhawkeye	chr16_34580970_34589093.e2000.png	assets/INV/svhawkeye/INV14.png
INV	INV15	Bamsnap-LRS	inversion_ONT_chr16_34579591_34594882.png	assets/INV/bamsnap-lrs/INV15.png
INV	INV15	SVhawkeye	chr16_34581591_34592882.e2000.png	assets/INV/svhawkeye/INV15.png
INV	INV16	Bamsnap-LRS	inversion_ONT_chr16_34579737_34597184.png	assets/INV/bamsnap-lrs/INV16.png
INV	INV16	SVhawkeye	chr16_34581737_34595184.e2000.png	assets/INV/svhawkeye/INV16.png
INV	INV17	Bamsnap-LRS	inversion_ONT_chr16_34580122_34595571.png	assets/INV/bamsnap-lrs/INV17.png
INV	INV17	SVhawkeye	chr16_34582122_34593571.e2000.png	assets/INV/svhawkeye/INV17.png
INV	INV18	Bamsnap-LRS	inversion_ONT_chr16_34580897_34591451.png	assets/INV/bamsnap-lrs/INV18.png
INV	INV18	SVhawkeye	chr16_34582897_34589451.e2000.png	assets/INV/svhawkeye/INV18.png
INV	INV19	Bamsnap-LRS	inversion_ONT_chr16_34581573_34597821.png	assets/INV/bamsnap-lrs/INV19.png
INV	INV19	SVhawkeye	chr16_34583573_34595821.e2000.png	assets/INV/svhawkeye/INV19.png
INV	INV20	Bamsnap-LRS	inversion_ONT_chr16_34582772_34594863.png	assets/INV/bamsnap-lrs/INV20.png
INV	INV20	SVhawkeye	chr16_34584772_34592863.e2000.png	assets/INV/svhawkeye/INV20.png
INV	INV21	Bamsnap-LRS	inversion_ONT_chr16_34583626_34595403.png	assets/INV/bamsnap-lrs/INV21.png
INV	INV21	SVhawkeye	chr16_34585626_34593403.e2000.png	assets/INV/svhawkeye/INV21.png
INV	INV22	Bamsnap-LRS	inversion_ONT_chr16_34585043_34596424.png	assets/INV/bamsnap-lrs/INV22.png
INV	INV22	SVhawkeye	chr16_34587043_34594424.e2000.png	assets/INV/svhawkeye/INV22.png
INV	INV23	Bamsnap-LRS	inversion_ONT_chr16_34586776_34597474.png	assets/INV/bamsnap-lrs/INV23.png
INV	INV23	SVhawkeye	chr16_34588776_34595474.e2000.png	assets/INV/svhawkeye/INV23.png
INV	INV24	Bamsnap-LRS	inversion_ONT_chr16_34592598_34598173.png	assets/INV/bamsnap-lrs/INV24.png
INV	INV24	SVhawkeye	chr16_34594598_34596173.e2000.png	assets/INV/svhawkeye/INV24.png
INV	INV25	Bamsnap-LRS	inversion_ONT_chr17_43356963_43367252.png	assets/INV/bamsnap-lrs/INV25.png
INV	INV25	SVhawkeye	chr17_43358963_43365252.e2000.png	assets/INV/svhawkeye/INV25.png
INV	INV26	Bamsnap-LRS	inversion_ONT_chr18_11455824_11460564.png	assets/INV/bamsnap-lrs/INV26.png
INV	INV26	SVhawkeye	chr18_11457824_11458564.e2000.png	assets/INV/svhawkeye/INV26.png
INV	INV27	Bamsnap-LRS	inversion_ONT_chr18_12143098_12148284.png	assets/INV/bamsnap-lrs/INV27.png
INV	INV27	SVhawkeye	chr18_12145098_12146284.e2000.png	assets/INV/svhawkeye/INV27.png
INV	INV28	Bamsnap-LRS	inversion_ONT_chr18_53627643_53631800.png	assets/INV/bamsnap-lrs/INV28.png
INV	INV28	SVhawkeye	chr18_53629643_53629800.e2000.png	assets/INV/svhawkeye/INV28.png
INV	INV29	Bamsnap-LRS	inversion_ONT_chr19_48759597_48799176.png	assets/INV/bamsnap-lrs/INV29.png
INV	INV29	SVhawkeye	chr19_48761597_48797176.e2000.png	assets/INV/svhawkeye/INV29.png
INV	INV30	Bamsnap-LRS	inversion_ONT_chr2_221240434_221252908.png	assets/INV/bamsnap-lrs/INV30.png
INV	INV30	SVhawkeye	chr2_221242434_221250908.e2000.png	assets/INV/svhawkeye/INV30.png
INV	INV31	Bamsnap-LRS	inversion_ONT_chr22_22345840_22395148.png	assets/INV/bamsnap-lrs/INV31.png
INV	INV31	SVhawkeye	chr22_22347840_22393148.e2000.png	assets/INV/svhawkeye/INV31.png
INV	INV32	Bamsnap-LRS	inversion_ONT_chr3_78716820_78720878.png	assets/INV/bamsnap-lrs/INV32.png
INV	INV32	SVhawkeye	chr3_78718820_78718878.e2000.png	assets/INV/svhawkeye/INV32.png
INV	INV33	Bamsnap-LRS	inversion_ONT_chr3_162805961_162831866.png	assets/INV/bamsnap-lrs/INV33.png
INV	INV33	SVhawkeye	chr3_162807961_162829866.e2000.png	assets/INV/svhawkeye/INV33.png
INV	INV34	Bamsnap-LRS	inversion_ONT_chr4_12646453_12650728.png	assets/INV/bamsnap-lrs/INV34.png
INV	INV34	SVhawkeye	chr4_12648453_12648728.e2000.png	assets/INV/svhawkeye/INV34.png
INV	INV35	Bamsnap-LRS	inversion_ONT_chr4_91314993_91351253.png	assets/INV/bamsnap-lrs/INV35.png
INV	INV35	SVhawkeye	chr4_91316993_91349253.e2000.png	assets/INV/svhawkeye/INV35.png
INV	INV36	Bamsnap-LRS	inversion_ONT_chr4_91314996_91319164.png	assets/INV/bamsnap-lrs/INV36.png
INV	INV36	SVhawkeye	chr4_91316996_91317164.e2000.png	assets/INV/svhawkeye/INV36.png
INV	INV37	Bamsnap-LRS	inversion_ONT_chr6_69529484_69535119.png	assets/INV/bamsnap-lrs/INV37.png
INV	INV37	SVhawkeye	chr6_69531484_69533119.e2000.png	assets/INV/svhawkeye/INV37.png
INV	INV38	Bamsnap-LRS	inversion_ONT_chr6_70466369_70480760.png	assets/INV/bamsnap-lrs/INV38.png
INV	INV38	SVhawkeye	chr6_70468369_70478760.e2000.png	assets/INV/svhawkeye/INV38.png
INV	INV39	Bamsnap-LRS	inversion_ONT_chr6_70606881_70612128.png	assets/INV/bamsnap-lrs/INV39.png
INV	INV39	SVhawkeye	chr6_70608881_70610128.e2000.png	assets/INV/svhawkeye/INV39.png
INV	INV40	Bamsnap-LRS	inversion_ONT_chr6_70724283_70731517.png	assets/INV/bamsnap-lrs/INV40.png
INV	INV40	SVhawkeye	chr6_70726283_70729517.e2000.png	assets/INV/svhawkeye/INV40.png
INV	INV41	Bamsnap-LRS	inversion_ONT_chr6_71293290_71307264.png	assets/INV/bamsnap-lrs/INV41.png
INV	INV41	SVhawkeye	chr6_71295290_71305264.e2000.png	assets/INV/svhawkeye/INV41.png
INV	INV42	Bamsnap-LRS	inversion_ONT_chr6_73157494_73163285.png	assets/INV/bamsnap-lrs/INV42.png
INV	INV42	SVhawkeye	chr6_73159494_73161285.e2000.png	assets/INV/svhawkeye/INV42.png
INV	INV43	Bamsnap-LRS	inversion_ONT_chr7_57328132_57337240.png	assets/INV/bamsnap-lrs/INV43.png
INV	INV43	SVhawkeye	chr7_57330132_57335240.e2000.png	assets/INV/svhawkeye/INV43.png
INV	INV44	Bamsnap-LRS	inversion_ONT_chr7_57510951_57521418.png	assets/INV/bamsnap-lrs/INV44.png
INV	INV44	SVhawkeye	chr7_57512951_57519418.e2000.png	assets/INV/svhawkeye/INV44.png
INV	INV45	Bamsnap-LRS	inversion_ONT_chr7_116636069_116640130.png	assets/INV/bamsnap-lrs/INV45.png
INV	INV45	SVhawkeye	chr7_116638069_116638130.e2000.png	assets/INV/svhawkeye/INV45.png
INV	INV46	Bamsnap-LRS	inversion_ONT_chr7_144588243_144598884.png	assets/INV/bamsnap-lrs/INV46.png
INV	INV46	SVhawkeye	chr7_144590243_144596884.e2000.png	assets/INV/svhawkeye/INV46.png
INV	INV47	Bamsnap-LRS	inversion_ONT_chr7_153319003_153323062.png	assets/INV/bamsnap-lrs/INV47.png
INV	INV47	SVhawkeye	chr7_153321003_153321062.e2000.png	assets/INV/svhawkeye/INV47.png
INV	INV48	Bamsnap-LRS	inversion_ONT_chr7_154660688_154666097.png	assets/INV/bamsnap-lrs/INV48.png
INV	INV48	SVhawkeye	chr7_154662688_154664097.e2000.png	assets/INV/svhawkeye/INV48.png
INV	INV49	Bamsnap-LRS	inversion_ONT_chr8_121388126_121393095.png	assets/INV/bamsnap-lrs/INV49.png
INV	INV49	SVhawkeye	chr8_121390126_121391095.e2000.png	assets/INV/svhawkeye/INV49.png
INV	INV50	Bamsnap-LRS	inversion_ONT_chr8_125307324_125313149.png	assets/INV/bamsnap-lrs/INV50.png
INV	INV50	SVhawkeye	chr8_125309324_125311149.e2000.png	assets/INV/svhawkeye/INV50.png
INV	INV51	Bamsnap-LRS	inversion_ONT_chr8_141629977_141635104.png	assets/INV/bamsnap-lrs/INV51.png
INV	INV51	SVhawkeye	chr8_141631977_141633104.e2000.png	assets/INV/svhawkeye/INV51.png
